// SVN FILE: $Id$							
//							
// Project Name :  UHPC Runnemede							
//							
// Author:          Ganesh Venkatesh (ganesh.venkatesh@intel.com)							
// Disclaimer:      This file presents my best estimates of the energy consumption of 							
//                    different components of the Sunshine architecture.							
// @author         $Author$							
// @copyright      $Copyright$							
// @version        $Rev$							
// @lastrevision   $Date$							
// @license        $License$							
// @filesource     $URL$							
//							
//NTV Scaling	22nm	Compute	0	Memory	1		
OP	45nm	32nm	22nm	14nm	10nm	7nm	22nm_NTV	
rmem	6.7	4.288	2.881	2.077	1.541	1.139	0.576
fma_fp	91	58.24	39.13	28.21	20.93	15.470	7.826
fma_int	42.3	27.072	18.189	13.113	9.729	7.191	3.638
bitops	1.2	0.787	0.529	0.381	0.283	0.209	0.106
arith-simple_int	6.7	4.288	2.881	2.077	1.541	1.139	0.576
fake	0	0	0	0	0	0.000	0.000
arith-adv_int	37.8	24.192	16.254	11.718	8.694	6.426	3.251
div_int	213.87	136.8768	91.9641	66.2997	49.1901	36.358	18.393
arith-simple_fp	18.2	11.648	7.826	5.642	4.186	3.094	1.565
misc	-1	-0.64	-0.43	-0.31	-0.23	-0.170	-0.086
cache_sw_coh	7	4.29	2.88	2.08	1.54	1.139	0.576
lsq	-1	-0.64	-0.43	-0.31	-0.23	-0.170	-0.086
sync	-1	-0.64	-0.43	-0.31	-0.23	-0.170	-0.086
lmem	29	18.43	12.38	8.93	6.62	4.896	12.384
lmem_sp	58	36.86	24.77	17.86	13.25	9.792	24.768
rmem_sp	6.7	4.288	2.881	2.077	1.541	1.139	0.576
cache	31	19.58	13.16	9.49	7.04	5.202	13.158
cache_sp	61	39.17	26.32	18.97	14.08	10.404	26.316
div_fp	440	281.60	189.20	136.40	101.20	74.800	37.840
sqrt_fp	440	281.60	189.20	136.40	101.20	74.800	37.840
sincos_fp	617	395	265.31	191.27	141.91	104.890	53.062
arith-adv_fp	77.4	49.536	33.282	23.994	17.802	13.158	6.656
net_sp	-1	-0.64	-0.43	-0.31	-0.23	-0.170	-0.086
fetch	14	9.2	6.19	4.46	3.31	2.448	1.238
decode	8	5.12	3.44	2.48	1.84	1.360	0.688
rf	7.6	4.864	3.268	2.356	1.748	1.292	0.654
lmem-read	22.1	14.14	9.503	6.851	5.083	3.757	9.503
lmem-write	22.1	14.14	9.503	6.851	5.083	3.757	9.503
dep	0.86	0.5504	0.3698	0.2666	0.1978	0.146	0.074
msr	3.5	2.24	1.505	1.085	0.805	0.595	0.301
spad	22.1	14.14	9.503	6.851	5.083	3.757	9.503
bsm	35	22	15.1	10.9	8.1	5.967	15.093
spad-bulk	177	113.15	76.02	54.81	40.66	30.056	76.024
bsm-bulk	281	180	121	87	65	47.736	120.744
l1cache-tag	1.8	1.152	0.774	0.558	0.414	0.306	0.774
l1cache-data	22	14.14	9.50	6.85	5.08	3.757	9.503
l1cache-data-bulk	177	113.15	76.02	54.81	40.66	30.056	76.024
l2cache-tag	2.5	1.606	1.079	0.778	0.577	0.427	1.079
l2cache-data	35	22.46	15.09	10.88	8.07	5.967	15.093
l2cache-data-bulk	281	179.68	120.72	87.03	64.57	47.728	120.723
l4cache-tag	4.24	2.714	1.823	1.314	0.975	0.721	1.823
l4cache-data	183	117.12	78.69	56.73	42.09	31.110	78.690
l4cache-data-bulk	1464	936.96	629.52	453.84	336.72	248.880	629.520
dram	33600	22784	11968	1152	797	442	11968.000
dram-bulk	38400	26726	15053	3379	2406	1434	15052.800
reduction	-1	-0.64	-0.43	-0.31	-0.23	-0.170	-0.086
